pdb_id,cluster_v2_id,Within_PDB_rank,automated_evidence_label,label_reason,independent_evidence_details,R_auto_DCC_A,R_auto_contact_recall,R_auto_residue_IoU,QC_status,unresolved_flag,label_scope,interpretation_guardrail
1A9M,1A9M_V2C001,1,R_auto,"reference_rule_pass:DCC=2.31A,contact_recall=1.000,IoU=0.456","assembly_interface_support:overlap=0.684,distance=4.50A;MD_contact_region_support:1A9M",2.30960115357522,1,0.456140350877193,QC_pass,false,static_top3,reproducible_evidence_state_not_manual_or_experimental_confirmation
1A9M,1A9M_V2C003,2,U_auto,acceptable_static_candidate_without_sufficient_R_auto_or_A_auto_evidence,,24.1165104868032,0,0,QC_pass,true,static_top3,reproducible_evidence_state_not_manual_or_experimental_confirmation
1A9M,1A9M_V2C002,3,U_auto,acceptable_static_candidate_without_sufficient_R_auto_or_A_auto_evidence,,22.366624401275,0,0,QC_pass,true,static_top3,reproducible_evidence_state_not_manual_or_experimental_confirmation
1A9M,1A9M_V2C010,4,U_auto,acceptable_static_candidate_without_sufficient_R_auto_or_A_auto_evidence,,18.3369282662163,0,0,not_in_static_top3,true,non_top3_posthoc_mapping,reproducible_evidence_state_not_manual_or_experimental_confirmation
1A9M,1A9M_V2C004,5,R_auto,"reference_rule_pass:DCC=6.86A,contact_recall=0.192,IoU=0.172","assembly_interface_support:overlap=1.000,distance=3.09A",6.85832431034032,0.192307692307692,0.172413793103448,not_in_static_top3,false,non_top3_posthoc_mapping,reproducible_evidence_state_not_manual_or_experimental_confirmation
1A9M,1A9M_V2C016,6,U_auto,acceptable_static_candidate_without_sufficient_R_auto_or_A_auto_evidence,,11.1422514435388,0.115384615384615,0.103448275862069,not_in_static_top3,true,non_top3_posthoc_mapping,reproducible_evidence_state_not_manual_or_experimental_confirmation
1A9M,1A9M_V2C020,7,U_auto,acceptable_static_candidate_without_sufficient_R_auto_or_A_auto_evidence,,16.5231826586527,0,0,not_in_static_top3,true,non_top3_posthoc_mapping,reproducible_evidence_state_not_manual_or_experimental_confirmation
1A9M,1A9M_V2C012,8,U_auto,acceptable_static_candidate_without_sufficient_R_auto_or_A_auto_evidence,,16.8815946180644,0,0,not_in_static_top3,true,non_top3_posthoc_mapping,reproducible_evidence_state_not_manual_or_experimental_confirmation
1A9M,1A9M_V2C019,9,U_auto,acceptable_static_candidate_without_sufficient_R_auto_or_A_auto_evidence,,17.2975308955688,0,0,not_in_static_top3,true,non_top3_posthoc_mapping,reproducible_evidence_state_not_manual_or_experimental_confirmation
1A9M,1A9M_V2C017,10,U_auto,acceptable_static_candidate_without_sufficient_R_auto_or_A_auto_evidence,,16.324683155245,0,0,not_in_static_top3,true,non_top3_posthoc_mapping,reproducible_evidence_state_not_manual_or_experimental_confirmation
1A9M,1A9M_V2C008,11,U_auto,acceptable_static_candidate_without_sufficient_R_auto_or_A_auto_evidence,,15.2200353138035,0,0,not_in_static_top3,true,non_top3_posthoc_mapping,reproducible_evidence_state_not_manual_or_experimental_confirmation
